time,latitude,longitude,co,no,so2,tp,ssr,u10,v10,skt
2018-01-04 18:00:00,28.95,77.6,6.9018547e-06,9.504795e-08,1.2577158e-07,0.0,3.5999988e-12,-1.6852074,-1.4360371,278.72397
2018-01-04 21:00:00,28.2,76.85,5.3614026e-06,8.973513e-08,1.2649849e-07,0.0,3.5999988e-12,-1.9810476,1.1045141,279.24213
2018-01-04 21:00:00,28.2,77.6,6.810581e-06,1.6705549e-07,1.839243e-07,0.0,3.5999988e-12,-2.0995016,0.035788536,278.44656
2018-01-04 21:00:00,28.95,76.85,6.585357e-06,1.0742845e-07,1.5530156e-07,0.0,3.5999988e-12,-2.0319662,-0.09000492,278.74713
2018-01-04 21:00:00,28.95,77.6,8.2948745e-06,1.3520966e-07,1.537282e-07,0.0,3.5999988e-12,-1.9494696,-1.2235498,277.58087
2018-01-05 00:00:00,28.2,76.85,4.0784507e-06,5.0708515e-08,6.8509394e-08,0.0,3.5999988e-12,-0.2224533,1.9804407,278.1233
2018-01-05 00:00:00,28.2,77.6,4.544164e-06,7.11686e-08,6.3884386e-08,0.0,3.5999988e-12,-0.90500945,1.3989893,277.18323
2018-01-05 00:00:00,28.95,76.85,4.754872e-06,4.0988414e-08,8.1948194e-08,0.0,3.5999988e-12,-0.72108,1.9022852,277.45325
2018-01-05 00:00:00,28.95,77.6,6.2970057e-06,6.55395e-08,6.7270975e-08,0.0,3.5999988e-12,-0.55604094,0.5047327,276.85236
2018-01-05 03:00:00,28.2,76.85,3.4188477e-06,3.6923783e-08,3.794632e-08,0.0,278941.0,0.0104522705,2.2995372,284.33295
2018-01-05 03:00:00,28.2,77.6,3.919921e-06,4.879794e-08,4.674221e-08,0.0,315030.0,0.3655548,1.0686413,283.85034
2018-01-05 03:00:00,28.95,76.85,4.1866683e-06,3.6898747e-08,4.6875126e-08,0.0,272305.0,-1.1822968,0.9146496,283.08514
2018-01-05 03:00:00,28.95,77.6,5.280082e-06,4.033011e-08,4.3244338e-08,0.0,275456.0,-0.7725067,-0.296471,282.09485
2018-01-05 06:00:00,28.2,76.85,2.121463e-06,6.2297922e-09,2.0133733e-08,0.0,1706436.0,-0.6636152,2.1956022,296.84146
2018-01-05 06:00:00,28.2,77.6,2.742017e-06,9.323713e-09,2.7033716e-08,0.0,1754132.0,-0.71750927,1.2347562,295.62967
2018-01-05 06:00:00,28.95,76.85,3.1954944e-06,9.275269e-09,2.6775217e-08,0.0,1712356.0,-1.2222395,0.85932904,295.37967
2018-01-05 06:00:00,28.95,77.6,4.1127732e-06,7.5629725e-09,2.606188e-08,0.0,1763063.0,-0.46065807,0.85655195,294.93738
2018-01-05 09:00:00,28.2,76.85,1.3299655e-06,1.2566351e-09,1.523577e-08,0.0,1681320.5,-0.5276028,0.92742145,298.45874
2018-01-05 09:00:00,28.2,77.6,1.8012571e-06,2.1956388e-09,2.0477989e-08,0.0,1694461.5,-0.16105616,0.48848712,297.0528
2018-01-05 09:00:00,28.95,76.85,2.1045764e-06,1.9184712e-09,2.1781776e-08,0.0,1680128.5,-0.54539454,-0.21326458,296.82355
2018-01-05 09:00:00,28.95,77.6,2.9041048e-06,1.383465e-09,1.9783903e-08,0.0,1702402.0,1.0207981,-0.16559613,295.9953
2018-01-05 12:00:00,28.2,76.85,2.2383301e-06,9.034122e-09,4.597227e-08,0.0,244978.75,-2.2526321,0.05195141,285.73236
2018-01-05 12:00:00,28.2,77.6,2.8580412e-06,1.12560095e-08,5.7232e-08,0.0,225013.25,-0.62299347,-0.0023698807,284.35803
2018-01-05 12:00:00,28.95,76.85,2.9785597e-06,9.0826715e-09,5.6277976e-08,0.0,234639.25,-1.1770096,-1.1192217,284.4217
2018-01-05 12:00:00,28.95,77.6,3.725193e-06,9.315153e-09,5.2125646e-08,0.0,217612.25,1.2352219,-0.41045094,283.55634
